Year,State,colonies,Maximum_colonies1,Lost_colonies,Percent_lost2,Varroa_mites,Other_parasites,Diseases,Pestticides,Other3,Unknown,POPULATION
2018,UT,27000,27000,3400,13,48,10,6,8,7,5,3153550
2018,VT,6500,6500,170,3,6,1,0,0,1,1,624358
2018,VA,7000,7000,1100,16,57,38,12,13,6,3,8501286
2018,WA,75000,81000,11000,14,35,1,12,5,3,1,7523869
2018,WV,7000,7000,1200,17,30,15,1,7,4,7,1804291
2018,WI,48000,48000,8500,18,30,28,2,25,8,5,5807406
2018,WY,30000,32000,2700,8,44,8,3,7,1,1,577601
2019,AL,6000,6000,660,11,47,27,1,5,9,11,4903185
2019,AZ,34000,36000,7000,19,54,2,0,23,4,3,7278717
2019,AR,19000,19500,1600,8,48,40,1,8,13,33,3017804
2019,CA,700000,1300000,136000,10,41,11,5,11,8,5,39512223
2019,CO,27000,27000,8000,30,68,2,0,15,3,1,5758736
2019,CT,3800,4000,300,8,22,11,2,0,2,2,3565287
2019,FL,270000,300000,30000,10,44,26,8,12,8,5,21477737
2019,GA,119000,131000,20000,15,34,18,6,9,3,4,10617423
2019,HI,17000,17000,1300,8,44,62,0,1,0,0,1415872
2019,ID,111000,196000,15500,8,20,4,5,11,10,1,1787065
2019,IL,13000,13000,1700,13,29,27,1,3,9,9,12671821
2019,IN,17500,17500,1300,7,21,15,3,7,2,1,6732219
2019,IA,32000,32000,7500,23,61,18,6,25,20,4,3155070
2019,KS,4800,4900,650,13,66,15,12,43,0,14,2913314
2019,KY,8500,8500,410,5,33,20,0,5,12,10,4467673
2019,LA,41000,46000,2300,5,33,19,4,1,6,1,4648794
2019,ME,11500,11500,770,7,21,0,0,3,0,0,1344212
2019,MD,6500,8000,1100,14,13,5,2,0,0,5,6045680
2019,MA,5000,5000,1200,24,8,0,1,0,1,11,6892503
2019,MI,84000,84000,6500,8,37,10,9,8,1,4,9986857
2019,MN,97000,97000,15500,16,37,8,1,6,2,4,5639632
2019,MS,21000,29000,3400,12,41,38,4,14,11,5,2976149
2019,MO,9000,10000,1500,15,19,6,0,0,2,0,6137428
2019,MT,71000,79000,7000,9,16,2,0,1,3,0,1068778
2019,NE,37000,38000,2700,7,6,1,0,4,3,6,1934408
2019,NJ,15500,15500,220,1,3,1,0,0,1,1,8882190
2019,NM,6000,6000,70,1,5,0,0,0,3,0,2096829
2019,NY,65000,65000,10000,15,33,25,3,9,3,4,19453561
2019,NC,17500,18000,3200,18,45,21,5,2,16,12,10488084
2019,ND,420000,420000,27000,6,43,7,2,4,2,2,762062
2019,OH,19000,19000,2700,14,33,6,0,1,3,8,11689100
2019,OK,6500,37000,2500,7,1,0,0,0,0,0,3956971
2019,OR,115000,130000,15000,12,36,2,5,2,17,16,4217737
2019,PA,21000,21000,3800,18,33,5,1,3,2,3,12801989
2019,SC,12500,13500,1900,14,57,18,2,4,13,6,5148714
2019,SD,189000,189000,7500,4,12,6,3,6,11,2,884659
2019,TN,11000,11000,1300,12,67,54,0,34,8,9,6829174
2019,TX,129000,240000,17500,7,23,14,5,5,6,1,28995881
2019,UT,30000,32000,4400,14,22,2,2,10,0,0,3205958
2019,VT,7000,7000,190,3,21,1,1,1,1,1,623989
2019,VA,8000,8000,1200,15,38,19,0,0,5,6,8535519
2019,WA,89000,93000,12500,13,40,2,1,20,3,3,7614893
2019,WV,7500,8000,1500,19,66,11,1,0,6,2,1792147
2019,WI,46000,46000,8500,18,40,22,15,14,22,7,5822434
2019,WY,27000,28000,3300,12,28,12,3,0,4,13,578759
