State,colonies,Maximum_colonies1,Lost_colonies,Percent_lost2,Added_colonies,Renov_colonies3,Percent_renov4,Year,Qtr,Varroa_mites,Other_parasites,Diseases,Pestticides,Other3,Unknown,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,ESTIMATESBASE2010
MA,4100,14000,320,2,940,510,4,2015,Q2,66.8,61.7,0.2,61.8,4.4,3.1,6794228,6823608,6859789,6882635,6892503,6547785
MI,58000,88000,9500,11,13500,5500,6,2015,Q2,26.9,13,0.6,9.1,16.4,3.1,9931715,9950571,9973114,9984072,9986857,9884116
MN,71000,125000,12500,10,20000,21000,17,2015,Q2,25.4,6.2,1.4,16.5,10.1,9.3,5482032,5522744,5566230,5606249,5639632,5303927
MS,89000,89000,11000,12,5500,10000,11,2015,Q2,10.1,6,0.3,0.1,2.3,1.7,2988471,2987938,2988510,2981020,2976149,2968130
MO,11500,12500,500,4,1900,1800,14,2015,Q2,5.1,6.2,3.1,1.6,1,7.4,6071732,6087135,6106670,6121623,6137428,5988950
MT,36000,210000,4200,2,14000,33000,16,2015,Q2,9,0.9,0.8,5.3,1.6,0,1030475,1040859,1052482,1060665,1068778,989407
NE,29000,68000,4100,6,15500,4600,7,2015,Q2,6.5,6.9,0,1.4,2.1,1.5,1891277,1905616,1915947,1925614,1934408,1826305
NJ,8500,19000,1800,10,2100,2900,15,2015,Q2,52.5,3.6,0.3,26.1,1,2.4,8867949,8870827,8885525,8886025,8882190,8791978
NM,6500,8500,1000,12,1500,330,4,2015,Q2,38.8,0,15.5,5.9,0.4,2.7,2089291,2091630,2091784,2092741,2096829,2059199
NY,24000,34000,1100,3,11000,1500,4,2015,Q2,19.1,12.5,4.5,4.4,3.3,1.1,19654666,19633428,19589572,19530351,19453561,19378144
NC,19500,23000,1800,8,5500,3300,14,2015,Q2,51,14.3,0.3,3.5,5.8,3,10031646,10154788,10268233,10381615,10488084,9535751
ND,121000,450000,29000,6,39000,61000,14,2015,Q2,15.5,3,0.1,4.3,4.6,0.3,754066,754434,754942,758080,762062,672576
OH,17500,19000,2100,11,10000,6000,32,2015,Q2,15.8,4.1,3,11.9,11.2,29,11617527,11634370,11659650,11676341,11689100,11536751
OK,25000,27000,2200,8,5500,2200,8,2015,Q2,66.1,6.3,0,0.1,7,1.9,3909500,3926331,3931316,3940235,3956971,3751582
OR,82000,95000,5500,6,14500,9500,10,2015,Q2,39.3,20.9,13.2,16,5.8,0.4,4015792,4089976,4143625,4181886,4217737,3831079
PA,15500,19000,1600,8,8500,2600,14,2015,Q2,11.4,5.8,2.6,1.6,6.7,2.1,12784826,12782275,12787641,12800922,12801989,12702868
SC,17500,18500,950,5,1100,2000,11,2015,Q2,29.9,5.4,0.5,1.4,3.7,0.7,4891938,4957968,5021268,5084156,5148714,4625366
SD,100000,290000,21000,7,27000,23000,8,2015,Q2,9.8,11.1,1.8,2,1.4,1.5,853988,862996,872868,878698,884659,814198
TN,7500,7500,730,10,3600,920,12,2015,Q2,47.8,26.3,1.8,9.8,2.6,3,6591170,6646010,6708799,6771631,6829174,6346276
TX,305000,315000,33000,11,76000,94000,30,2015,Q2,19.3,22.9,2.5,6.6,7.4,3,27470056,27914410,28295273,28628666,28995881,25146091
UT,24000,27000,3400,13,10000,3900,14,2015,Q2,27.2,10.8,1.5,12.3,5.6,1.2,2981835,3041868,3101042,3153550,3205958,2763891
VT,6000,6000,100,2,580,50,1,2015,Q2,3.7,1.9,0.1,0,1.3,0.1,625216,623657,624344,624358,623989,625737
VA,7500,7500,270,4,2100,430,6,2015,Q2,26.2,13,1.8,0.2,3,4.5,8361808,8410106,8463587,8501286,8535519,8001049
WA,105000,127000,5000,4,15000,13000,10,2015,Q2,48.7,0.2,2.2,2,3.2,0.5,7163657,7294771,7423362,7523869,7614893,6724540
WV,4700,4700,570,12,2900,590,13,2015,Q2,15.6,8.3,0.6,2.7,4.6,4.4,1842050,1831023,1817004,1804291,1792147,1853018
WI,25000,65000,4600,7,10000,5500,9,2015,Q2,35.3,5.6,1,8.2,15.2,2.3,5760940,5772628,5790186,5807406,5822434,5687285
WY,12000,25000,3200,13,7500,5000,20,2015,Q2,19.1,17.9,0.8,3.6,8.3,2.4,585613,584215,578931,577601,578759,563775
AL,8500,9000,1400,16,160,260,3,2015,Q3,63.1,70.6,0,2.6,2.2,17.7,4852347,4863525,4874486,4887681,4903185,4780125
AZ,40000,40000,6000,15,4300,15500,39,2015,Q3,53.5,24.8,5.4,17.3,7.6,5.1,6829676,6941072,7044008,7158024,7278717,6392288
AR,23000,30000,9000,30,500,210,1,2015,Q3,69.2,32.4,0.9,5,1.8,1.4,2978048,2989918,3001345,3009733,3017804,2916031
CA,730000,800000,76000,10,40000,93000,12,2015,Q3,39.9,20.4,12.5,19.6,15,4.7,38918045,39167117,39358497,39461588,39512223,37254519
CO,29000,30000,4500,15,1400,1400,5,2015,Q3,50.5,1.5,2.7,16.5,3.7,2.7,5450623,5539215,5611885,5691287,5758736,5029319
CT,3700,3700,50,1,190,440,12,2015,Q3,39.3,1.2,0.4,1.5,7.8,0,3587122,3578141,3573297,3571520,3565287,3574147
FL,164000,220000,36000,16,37000,29000,13,2015,Q3,39.5,21.7,6.7,22.9,21.9,3.4,20209042,20613477,20963613,21244317,21477737,18804564
